assembly	biosample	coverage	organism	strain	human_related	collection_date	country	city	assembly_source	genome_size	gc_content	n_count	contig_count	longest_contig	N50	N95	busco_complete_perc	kraken2_taxid	kraken2_taxon_name	kraken2_taxid_freq	mlst	mlst_genes_detected	k_serotype	k_confidence	oc_serotype	oc_confidence	aminoglycoside	beta_lactam	colistin	fosfomycin	fusidicacid	glycopeptide	macrolide	misc	nitroimidazole	oxazolidinone	phenicol	pseudomonicacid	quinolone	rifampicin	sulphonamide	tetracycline	trimethoprim	carO	ISAba1	blaOXA51like	carbapenem	fluoroquinolone	crab	qc_pass	continent	region23	country_iso2c	serotype	collection_day	collection_year	filtered	city_pooled
AB117	NA	39.92	Acinetobacter baumannii	NA	TRUE	2020-11-01	Hungary	city11	This study	4008940	0.389	520	75	462938	138433	19788	99.8	470	Acinetobacter baumannii	90.67	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-10-31	2020	TRUE	city11 (HU)
AB119	NA	36.19	Acinetobacter baumannii	NA	TRUE	2020-11-13	Hungary	city11	This study	4009856	0.389	520	74	462938	159566	19556	99.8	470	Acinetobacter baumannii	90.54	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-12	2020	TRUE	city11 (HU)
AB12	NA	40.26	Acinetobacter baumannii	NA	TRUE	2016-05-20	Hungary	city16	This study	4066746	0.389	400	69	375935	186387	21368	99.7	470	Acinetobacter baumannii	89.86	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	catA1	NA	NA	NA	sul1	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2016-05-20	2016	TRUE	city16 (HU)
AB120	NA	40.28	Acinetobacter baumannii	NA	TRUE	2020-11-09	Hungary	city11	This study	4009566	0.389	530	76	462834	159566	19556	99.8	470	Acinetobacter baumannii	89.47	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-08	2020	TRUE	city11 (HU)
AB121	NA	46.71	Acinetobacter baumannii	NA	TRUE	2020-10-24	Hungary	city11	This study	4007888	0.39	830	61	313896	139409	25812	99.7	470	Acinetobacter baumannii	77.05	ST2	7	KL2	Very high	OCL1	Very high	aac(3)-Ia|aadA1|aph(3')-Ia	blaADC-25|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1|sul2	NA	NA	TRUE	TRUE	TRUE	NA	gyrAS81L|parCS84L	FALSE	TRUE	Europe	Eastern Europe	HU	ST2-KL2	2020-10-23	2020	TRUE	city11 (HU)
AB122	NA	43.98	Acinetobacter baumannii	NA	TRUE	2020-11-16	Hungary	city11	This study	4010939	0.389	520	76	462938	159566	19556	99.8	470	Acinetobacter baumannii	89.47	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-15	2020	TRUE	city11 (HU)
AB123	NA	49.05	Acinetobacter baumannii	NA	TRUE	2020-11-13	Hungary	city11	This study	4009965	0.389	520	75	462938	159566	19556	99.8	470	Acinetobacter baumannii	90.67	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-12	2020	TRUE	city11 (HU)
AB125	NA	47.14	Acinetobacter baumannii	NA	TRUE	2020-11-23	Hungary	city11	This study	4008616	0.389	520	76	462938	159566	19556	99.8	470	Acinetobacter baumannii	90.79	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-22	2020	TRUE	city11 (HU)
AB126	NA	43.8	Acinetobacter baumannii	NA	TRUE	2020-11-06	Hungary	city5	This study	3989887	0.389	630	87	359088	122061	11694	99.8	470	Acinetobacter baumannii	87.36	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-06	2020	TRUE	city5 (HU)
AB127	NA	52.37	Acinetobacter baumannii	NA	TRUE	2020-07-03	Hungary	city11	This study	4019147	0.389	870	85	463126	121325	13785	99.8	470	Acinetobacter baumannii	89.41	ST2	7	KL3	Good	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-07-03	2020	TRUE	city11 (HU)
AB128	NA	65.58	Acinetobacter baumannii	NA	TRUE	2020-05-14	Hungary	city11	This study	4022451	0.389	520	82	462938	159566	14888	99.8	470	Acinetobacter baumannii	87.8	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-05-13	2020	TRUE	city11 (HU)
AB129	NA	52.73	Acinetobacter baumannii	NA	TRUE	2020-06-15	Hungary	city11	This study	4017793	0.389	520	79	462938	127341	14886	99.8	470	Acinetobacter baumannii	91.14	ST2	7	KL3	Good	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-06-15	2020	TRUE	city11 (HU)
AB130	NA	40.73	Acinetobacter baumannii	NA	TRUE	2020-09-01	Hungary	city11	This study	4018863	0.389	420	80	462938	159566	14887	99.8	470	Acinetobacter baumannii	88.75	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-09-01	2020	TRUE	city11 (HU)
AB131	NA	45.96	Acinetobacter baumannii	NA	TRUE	2020-11-13	Hungary	city11	This study	3990410	0.389	520	86	358694	122061	11695	99.8	470	Acinetobacter baumannii	88.37	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-12	2020	TRUE	city11 (HU)
AB132	NA	49.87	Acinetobacter baumannii	NA	TRUE	2020-11-12	Hungary	city11	This study	3990884	0.389	620	88	358694	121324	11694	99.7	470	Acinetobacter baumannii	88.64	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-11	2020	TRUE	city11 (HU)
AB133	NA	39.31	Acinetobacter baumannii	NA	TRUE	2020-11-10	Hungary	city11	This study	3990493	0.389	620	87	358694	122061	11694	99.8	470	Acinetobacter baumannii	88.51	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-10	2020	TRUE	city11 (HU)
AB136	NA	45.55	Acinetobacter baumannii	NA	TRUE	2020-11-12	Hungary	city11	This study	3990564	0.389	630	85	359032	122061	11695	99.8	470	Acinetobacter baumannii	88.24	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-11	2020	TRUE	city11 (HU)
AB138	NA	34.74	Acinetobacter baumannii	NA	TRUE	2020-12-01	Hungary	city11	This study	4010139	0.389	520	76	439174	159566	19556	99.8	470	Acinetobacter baumannii	90.79	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-30	2020	TRUE	city11 (HU)
AB14	NA	52.22	Acinetobacter baumannii	NA	TRUE	2016-10-11	Hungary	city11	This study	3977041	0.389	300	74	289115	162523	19742	99.8	470	Acinetobacter baumannii	85.14	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-58|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like|blaOXA-58-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2016-10-11	2016	TRUE	city11 (HU)
AB15	NA	42.3	Acinetobacter baumannii	NA	TRUE	2016-09-17	Hungary	city17	This study	3901947	0.389	610	57	465554	164294	25310	99.7	470	Acinetobacter baumannii	77.19	ST2	7	KL2	Very high	OCL1	Very high	aac(6')-Iaf|aph(3')-VIa	blaADC-25|blaOXA-58|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	sul1	NA	NA	TRUE	TRUE	TRUE	blaOXA-58-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL2	2016-09-16	2016	TRUE	city17 (HU)
AB151	NA	28.75	Acinetobacter baumannii	NA	TRUE	2020-12-05	Hungary	city11	This study	4011869	0.389	520	74	462938	159566	19556	99.8	470	Acinetobacter baumannii	90.54	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-12-04	2020	TRUE	city11 (HU)
AB152	NA	35.41	Acinetobacter baumannii	NA	TRUE	2020-11-23	Hungary	city8	This study	3969351	0.388	630	74	291082	131012	19556	99.7	470	Acinetobacter baumannii	89.19	ST2	7	KL3	High	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-22	2020	TRUE	city8 (HU)
AB154	NA	31.11	Acinetobacter baumannii	NA	TRUE	2020-12-20	Hungary	city11	This study	4017667	0.389	1388	73	422160	162382	19788	99.8	470	Acinetobacter baumannii	90.41	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-12-19	2020	TRUE	city11 (HU)
AB155	NA	34.22	Acinetobacter baumannii	NA	TRUE	2020-12-17	Hungary	city11	This study	4010485	0.388	860	76	462644	159566	19556	99.8	470	Acinetobacter baumannii	90.79	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-12-16	2020	TRUE	city11 (HU)
AB156	NA	32.36	Acinetobacter baumannii	NA	TRUE	2020-12-13	Hungary	city11	This study	3989709	0.389	520	88	358694	122061	11695	99.8	470	Acinetobacter baumannii	87.5	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-12-12	2020	TRUE	city11 (HU)
AB158	NA	28.97	Acinetobacter baumannii	NA	TRUE	2020-11-10	Hungary	city11	This study	3975942	0.389	970	86	358983	122061	13785	99.8	470	Acinetobacter baumannii	87.21	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-11-10	2020	TRUE	city11 (HU)
AB159	NA	33.38	Acinetobacter baumannii	NA	TRUE	2020-10-07	Hungary	city11	This study	3992219	0.389	730	83	359087	122061	14461	99.8	470	Acinetobacter baumannii	87.95	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	mph(E)|msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-10-06	2020	TRUE	city11 (HU)
AB160	NA	27.85	Acinetobacter baumannii	NA	TRUE	2020-12-22	Hungary	city11	This study	4010102	0.389	520	77	462834	159566	19556	99.8	470	Acinetobacter baumannii	89.61	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-12-22	2020	TRUE	city11 (HU)
AB161	NA	27.55	Acinetobacter baumannii	NA	TRUE	2020-12-27	Hungary	city11	This study	4011389	0.389	870	76	462834	159566	19556	99.8	470	Acinetobacter baumannii	89.47	ST2	7	KL3	Very high	OCL1	Very high	aph(3'')-Ib|aph(3')-Ia|aph(3')-VIa|aph(6)-Id|armA	blaADC-25|blaOXA-23|blaOXA-66|blaTEM-1A	NA	NA	NA	NA	msr(E)	NA	NA	NA	NA	NA	NA	NA	sul2	tet(B)	NA	TRUE	TRUE	TRUE	blaOXA-23-like	gyrAS81L|parCS84L	TRUE	TRUE	Europe	Eastern Europe	HU	ST2-KL3	2020-12-26	2020	TRUE	city11 (HU)
