subsample	bootstrap	mrca	same_country	different_country_same_continent	different_continent
subsample_0014	1	(12,40]	1687	13786	11241
subsample_0015	1	[0,6]	1766	222	21
subsample_0015	1	(6,12]	844	1980	1030
subsample_0015	1	(12,40]	2237	16507	12726
subsample_0016	1	[0,6]	976	156	50
subsample_0016	1	(6,12]	1382	2662	2252
subsample_0016	1	(12,40]	1908	16514	11877
subsample_0017	1	[0,6]	1026	125	8
subsample_0017	1	(6,12]	1332	763	201
subsample_0017	1	(12,40]	2220	18866	12978
subsample_0018	1	[0,6]	1962	806	391
subsample_0018	1	(6,12]	849	7240	4749
subsample_0018	1	(12,40]	1575	11401	8675
subsample_0019	1	[0,6]	1674	269	62
subsample_0019	1	(6,12]	904	4468	3034
subsample_0019	1	(12,40]	2027	14232	10939
subsample_0020	1	[0,6]	1170	110	19
subsample_0020	1	(6,12]	1300	1225	553
subsample_0020	1	(12,40]	2208	18228	13440
subsample_0021	1	[0,6]	683	106	17
subsample_0021	1	(6,12]	1433	583	152
subsample_0021	1	(12,40]	2213	18745	13826
subsample_0022	1	[0,6]	2172	702	498
subsample_0022	1	(6,12]	1143	8045	5952
subsample_0022	1	(12,40]	1270	10423	8391
subsample_0023	1	[0,6]	1703	258	91
subsample_0023	1	(6,12]	735	4713	3344
subsample_0023	1	(12,40]	1816	14474	10422
subsample_0024	1	[0,6]	1632	283	89
subsample_0024	1	(6,12]	1137	4246	3449
subsample_0024	1	(12,40]	1819	15277	10337
subsample_0025	1	[0,6]	1239	186	27
subsample_0025	1	(6,12]	1251	2771	2165
subsample_0025	1	(12,40]	2008	15969	11758
subsample_0026	1	[0,6]	1568	300	130
subsample_0026	1	(6,12]	661	4909	3544
subsample_0026	1	(12,40]	1791	15232	11192
subsample_0027	1	[0,6]	1997	410	120
subsample_0027	1	(6,12]	1034	6066	3861
subsample_0027	1	(12,40]	1704	13145	9974
subsample_0028	1	[0,6]	1210	233	37
subsample_0028	1	(6,12]	1045	1911	1714
subsample_0028	1	(12,40]	2257	16403	11601
subsample_0029	1	[0,6]	1970	304	168
subsample_0029	1	(6,12]	1003	8280	4072
subsample_0029	1	(12,40]	1493	11692	9049
subsample_0030	1	[0,6]	1630	300	131
subsample_0030	1	(6,12]	1136	5604	4402
subsample_0030	1	(12,40]	1831	12832	9694
subsample_0031	1	[0,6]	912	150	15
subsample_0031	1	(6,12]	1260	700	228
subsample_0031	1	(12,40]	2382	18834	14685
subsample_0032	1	[0,6]	1866	189	68
subsample_0032	1	(6,12]	900	2771	2037
subsample_0032	1	(12,40]	2088	16985	12005
subsample_0033	1	[0,6]	1991	329	200
subsample_0033	1	(6,12]	1183	7419	4759
subsample_0033	1	(12,40]	1590	11146	9880
subsample_0034	1	[0,6]	1955	1059	356
subsample_0034	1	(6,12]	973	8155	5276
subsample_0034	1	(12,40]	1554	10708	9821
subsample_0035	1	[0,6]	1840	401	50
subsample_0035	1	(6,12]	804	3572	514
subsample_0035	1	(12,40]	1927	15210	12944
subsample_0036	1	[0,6]	1676	216	69
subsample_0036	1	(6,12]	905	2832	1879
subsample_0036	1	(12,40]	2003	16755	12485
subsample_0037	1	[0,6]	1109	181	24
subsample_0037	1	(6,12]	1338	1940	1431
subsample_0037	1	(12,40]	2032	17148	12101
subsample_0038	1	[0,6]	1899	486	233
subsample_0038	1	(6,12]	1042	7025	4579
subsample_0038	1	(12,40]	1625	11377	9319
subsample_0039	1	[0,6]	1174	172	23
subsample_0039	1	(6,12]	874	1654	785
subsample_0039	1	(12,40]	2128	17439	12339
subsample_0040	1	[0,6]	1391	134	37
subsample_0040	1	(6,12]	1106	2116	1307
subsample_0040	1	(12,40]	2133	17372	12131
subsample_0041	1	[0,6]	538	76	8
subsample_0041	1	(6,12]	1353	1194	831
subsample_0041	1	(12,40]	2085	18926	13368
subsample_0042	1	[0,6]	1611	316	65
subsample_0042	1	(6,12]	759	4028	2972
subsample_0042	1	(12,40]	1758	15774	11351
subsample_0043	1	[0,6]	1297	190	21
subsample_0043	1	(6,12]	943	3036	1466
subsample_0043	1	(12,40]	1954	16411	12555
subsample_0044	1	[0,6]	1262	225	25
subsample_0044	1	(6,12]	1068	4287	3049
subsample_0044	1	(12,40]	1978	15336	10976
subsample_0045	1	[0,6]	1768	186	55
subsample_0045	1	(6,12]	827	2240	2013
subsample_0045	1	(12,40]	2371	16298	11609
subsample_0046	1	[0,6]	1483	212	49
subsample_0046	1	(6,12]	954	2529	1501
subsample_0046	1	(12,40]	1905	16699	11764
subsample_0047	1	[0,6]	1202	209	23
subsample_0047	1	(6,12]	1368	2215	1624
subsample_0047	1	(12,40]	2112	16730	11885
subsample_0048	1	[0,6]	1251	140	83
subsample_0048	1	(6,12]	1163	2787	2108
subsample_0048	1	(12,40]	1974	17173	12501
subsample_0049	1	[0,6]	1254	179	51
subsample_0049	1	(6,12]	1430	3760	2060
subsample_0049	1	(12,40]	1832	15378	12114
subsample_0050	1	[0,6]	1333	170	35
subsample_0050	1	(6,12]	945	2491	1785
subsample_0050	1	(12,40]	2187	16949	11925
subsample_0051	1	[0,6]	2436	1445	618
subsample_0051	1	(6,12]	771	7953	5913
subsample_0051	1	(12,40]	1429	9406	7136
subsample_0052	1	[0,6]	2479	1738	1183
subsample_0052	1	(6,12]	712	8219	5333
subsample_0052	1	(12,40]	1326	9812	6881
subsample_0053	1	[0,6]	1557	292	141
subsample_0053	1	(6,12]	1250	5925	4738
subsample_0053	1	(12,40]	1654	12870	9674
subsample_0054	1	[0,6]	1668	216	75
subsample_0054	1	(6,12]	870	2596	2478
subsample_0054	1	(12,40]	2078	16222	11815
subsample_0055	1	[0,6]	1228	130	16
subsample_0055	1	(6,12]	1113	583	206
subsample_0055	1	(12,40]	2416	18563	13860
subsample_0056	1	[0,6]	2060	269	61
subsample_0056	1	(6,12]	798	4389	3463
subsample_0056	1	(12,40]	1658	14094	10182
subsample_0057	1	[0,6]	1928	359	155
subsample_0057	1	(6,12]	998	7224	4745
subsample_0057	1	(12,40]	1748	11672	10140
subsample_0058	1	[0,6]	2252	1027	506
subsample_0058	1	(6,12]	931	8199	5922
subsample_0058	1	(12,40]	1353	9677	8026
subsample_0059	1	[0,6]	1520	168	31
subsample_0059	1	(6,12]	1107	3880	2767
subsample_0059	1	(12,40]	1931	15433	11548
subsample_0060	1	[0,6]	1783	383	150
subsample_0060	1	(6,12]	860	5265	3667
subsample_0060	1	(12,40]	1806	14554	10330
subsample_0061	1	[0,6]	1195	104	40
subsample_0061	1	(6,12]	1125	2033	699
subsample_0061	1	(12,40]	1974	17888	12619
subsample_0062	1	[0,6]	1154	124	41
subsample_0062	1	(6,12]	1106	2503	1296
subsample_0062	1	(12,40]	1948	17523	12548
subsample_0063	1	[0,6]	1691	338	97
subsample_0063	1	(6,12]	746	3379	2260
subsample_0063	1	(12,40]	1842	15274	11574
subsample_0064	1	[0,6]	1704	681	345
subsample_0064	1	(6,12]	855	7450	5102
subsample_0064	1	(12,40]	1737	11316	8776
subsample_0065	1	[0,6]	1375	180	42
subsample_0065	1	(6,12]	1014	3041	1619
subsample_0065	1	(12,40]	2089	17017	11878
subsample_0066	1	[0,6]	906	103	9
subsample_0066	1	(6,12]	1406	2154	1372
subsample_0066	1	(12,40]	2007	17849	12360
subsample_0067	1	[0,6]	999	144	20
subsample_0067	1	(6,12]	1393	2060	1628
subsample_0067	1	(12,40]	2146	17275	13024
subsample_0068	1	[0,6]	1559	115	30
subsample_0068	1	(6,12]	1002	2077	1460
subsample_0068	1	(12,40]	1820	16934	13072
subsample_0069	1	[0,6]	1298	203	39
subsample_0069	1	(6,12]	1058	2586	1420
subsample_0069	1	(12,40]	2016	17068	11975
subsample_0070	1	[0,6]	1838	224	71
subsample_0070	1	(6,12]	756	4515	2818
subsample_0070	1	(12,40]	1681	14630	10201
subsample_0071	1	[0,6]	1211	130	64
subsample_0071	1	(6,12]	1195	2470	1776
subsample_0071	1	(12,40]	1895	16458	12072
subsample_0072	1	[0,6]	1505	403	175
subsample_0072	1	(6,12]	860	6347	3692
subsample_0072	1	(12,40]	1683	13364	10921
subsample_0073	1	[0,6]	1423	187	108
subsample_0073	1	(6,12]	1115	3838	3024
subsample_0073	1	(12,40]	1867	15894	12258
subsample_0074	1	[0,6]	936	75	9
subsample_0074	1	(6,12]	1038	1422	322
subsample_0074	1	(12,40]	2139	18227	12205
subsample_0075	1	[0,6]	2338	1848	904
subsample_0075	1	(6,12]	686	7541	5915
subsample_0075	1	(12,40]	1579	10120	7042
subsample_0076	1	[0,6]	1098	205	46
subsample_0076	1	(6,12]	1000	3828	2160
subsample_0076	1	(12,40]	2189	15905	11236
subsample_0077	1	[0,6]	864	103	26
subsample_0077	1	(6,12]	1478	1716	1233
subsample_0077	1	(12,40]	2240	16420	12084
subsample_0078	1	[0,6]	1347	286	42
subsample_0078	1	(6,12]	1154	3274	2084
subsample_0078	1	(12,40]	1739	15844	10081
subsample_0079	1	[0,6]	2135	1125	468
subsample_0079	1	(6,12]	719	7629	4694
subsample_0079	1	(12,40]	1543	10076	8178
subsample_0080	1	[0,6]	2446	1609	894
subsample_0080	1	(6,12]	457	5708	4525
subsample_0080	1	(12,40]	1563	11714	8493
subsample_0081	1	[0,6]	681	102	25
subsample_0081	1	(6,12]	1485	492	206
subsample_0081	1	(12,40]	1675	18260	13625
subsample_0082	1	[0,6]	1404	239	92
subsample_0082	1	(6,12]	947	2979	2375
subsample_0082	1	(12,40]	2168	16547	11420
subsample_0083	1	[0,6]	1300	182	23
subsample_0083	1	(6,12]	1023	2370	348
subsample_0083	1	(12,40]	2032	16989	12537
subsample_0084	1	[0,6]	802	88	18
subsample_0084	1	(6,12]	1328	717	270
subsample_0084	1	(12,40]	2156	19097	13168
subsample_0085	1	[0,6]	1715	174	33
subsample_0085	1	(6,12]	732	2373	1517
subsample_0085	1	(12,40]	2061	16830	11751
subsample_0086	1	[0,6]	1642	216	11
subsample_0086	1	(6,12]	727	1518	215
subsample_0086	1	(12,40]	2203	17962	13309
subsample_0087	1	[0,6]	1557	145	10
subsample_0087	1	(6,12]	1079	1844	1147
subsample_0087	1	(12,40]	1959	17188	12830
subsample_0088	1	[0,6]	1575	234	70
subsample_0088	1	(6,12]	722	4212	2747
subsample_0088	1	(12,40]	1904	14994	11170
subsample_0089	1	[0,6]	1262	193	15
subsample_0089	1	(6,12]	1152	1154	784
subsample_0089	1	(12,40]	2250	17585	12222
subsample_0090	1	[0,6]	2436	1908	575
subsample_0090	1	(6,12]	674	7833	5820
subsample_0090	1	(12,40]	1263	9152	6918
subsample_0091	1	[0,6]	1081	143	42
subsample_0091	1	(6,12]	1218	2435	2457
subsample_0091	1	(12,40]	2128	17306	12205
subsample_0092	1	[0,6]	1024	125	30
subsample_0092	1	(6,12]	1287	1719	1255
subsample_0092	1	(12,40]	2360	17169	12873
subsample_0093	1	[0,6]	1296	154	21
subsample_0093	1	(6,12]	939	2208	1430
subsample_0093	1	(12,40]	2276	16821	12669
subsample_0094	1	[0,6]	1506	307	123
subsample_0094	1	(6,12]	750	5357	2928
subsample_0094	1	(12,40]	1813	14458	10782
subsample_0095	1	[0,6]	656	82	4
subsample_0095	1	(6,12]	1430	700	65
subsample_0095	1	(12,40]	1994	18600	12605
subsample_0096	1	[0,6]	619	82	16
subsample_0096	1	(6,12]	1387	443	298
subsample_0096	1	(12,40]	2014	18346	13416
subsample_0097	1	[0,6]	1627	191	22
subsample_0097	1	(6,12]	811	1213	335
subsample_0097	1	(12,40]	2169	18058	14624
subsample_0098	1	[0,6]	1307	246	32
subsample_0098	1	(6,12]	1126	1945	1116
subsample_0098	1	(12,40]	2089	17222	13859
subsample_0099	1	[0,6]	1536	354	182
subsample_0099	1	(6,12]	1013	5754	4310
subsample_0099	1	(12,40]	1766	13645	11161
subsample_0100	1	[0,6]	1757	286	132
subsample_0100	1	(6,12]	823	4770	3433
subsample_0100	1	(12,40]	1698	14616	9861
