Taxon,Cluster
GCA_022106175_1,1
GCA_018286335_1,1
GCA_024712385_1,1
GCA_020575785_1,1
GCF_017169465_1,1
GCA_024211605_1,1
GCF_008830995_1,1
GCF_008830895_1,1
GCA_019316665_1,1
GCA_016639295_1,1
GCA_017119865_1,1
GCA_019079925_1,1
GCF_003357005_1,1
GCA_019316705_1,1
GCF_014560855_1,1
GCA_018286055_1,1
GCA_016479645_1,1
GCF_005785115_1,1
GCA_021470385_1,1
GCF_003355865_1,1
GCF_006366365_1,1
GCA_017372295_1,1
GCA_020895335_1,1
GCA_016479355_1,1
GCA_021221825_1,1
GCF_017169275_1,1
GCF_005784685_1,1
GCA_016490025_1,1
GCA_021220445_1,1
GCA_023092985_1,1
GCF_002992825_1,1
GCA_023615565_1,1
GCA_020577275_1,1
GCF_008830985_1,1
GCA_018495295_1,1
GCA_019506645_1,1
GCA_019506625_1,1
GCA_016974195_1,1
GCA_019316265_1,1
GCA_016481785_1,1
GCA_021222865_1,1
GCF_014560935_1,1
GCF_003355885_1,1
GCA_018495375_1,1
GCA_020781175_1,1
GCA_018286115_1,1
GCA_020577755_1,1
GCA_016481745_1,1
GCA_017119805_1,1
GCA_019506525_1,1
GCA_021539575_1,1
GCF_014560895_1,1
GCA_016482555_1,1
GCF_002992875_1,1
GCA_019743315_1,1
GCA_016974315_1,1
GCA_018868545_1,1
GCA_019743195_1,1
GCA_020577475_1,1
GCA_018285295_1,1
GCA_016478765_1,1
GCA_020781575_1,1
GCA_017836355_1,1
GCA_016974735_1,1
GCA_021221365_1,1
GCA_017119585_1,1
GCA_019742255_1,1
GCA_017831255_1,1
GCA_016479425_1,1
GCA_016482715_1,1
GCA_016512155_1,1
GCA_019317605_1,1
GCA_017836445_1,1
GCA_019505905_1,1
GCA_017119925_1,1
GCA_016477685_1,1
GCA_021222625_1,1
GCA_024922145_1,1
GCA_016470675_1,1
GCA_016484805_1,1
GCA_016609265_1,1
GCA_016609585_1,1
GCA_024617285_1,1
GCA_022915815_1,1
GCA_016480385_1,1
GCA_019506545_1,1
GCF_003355875_1,1
GCF_003355985_1,1
GCF_022459055_1,1
GCF_000761465_1,1
GCA_016609505_1,1
GCA_017120225_1,1
GCA_016480145_1,1
GCA_020780635_1,1
GCA_016480265_1,1
GCA_016973935_1,1
GCA_016482835_1,1
GCA_019316305_1,1
GCF_001008125_1,1
GCA_018868365_1,1
GCA_020569075_1,1
GCA_016482735_1,1
GCA_016479465_1,1
GCA_016481085_1,1
GCF_005785645_1,1
GCF_003356525_1,1
GCA_020786885_1,1
GCA_021220325_1,1
GCA_019750775_1,1
GCF_002992545_1,1
GCA_020575385_1,1
GCA_018495195_1,1
GCF_008830785_1,1
GCA_019505845_1,1
GCA_022107275_1,1
GCA_019316325_1,1
GCA_016480685_1,1
GCA_016486205_1,1
GCA_020569355_1,1
GCA_020780615_1,1
GCF_005819545_1,1
GCA_021220805_1,1
GCA_021220375_1,1
GCA_020040605_1,1
GCA_018868605_1,1
GCA_020233605_1,1
GCA_017364325_1,1
GCA_016974595_1,1
GCA_017119745_1,1
GCF_004378535_1,1
GCA_024468255_1,1
GCA_018495255_1,1
GCA_022106135_1,1
GCA_016512855_1,1
GCA_019316785_1,1
GCA_016976235_1,1
GCA_021470445_1,1
GCA_019506605_1,1
GCF_008830805_1,1
GCF_013618745_1,1
GCA_016512715_1,1
GCA_017846255_1,1
GCA_017119545_1,1
GCA_022107075_1,1
GCF_002992445_1,1
GCA_019507005_1,1
GCA_016497385_1,1
GCA_016483855_1,1
GCF_003357035_1,1
GCA_018517765_1,1
GCA_017836215_1,1
GCF_005784725_1,1
GCA_016480165_1,1
GCA_016511715_1,1
GCF_002992235_1,1
GCF_003355845_1,1
GCA_016474865_1,1
GCA_019505765_1,1
GCA_018868865_1,1
GCF_003356535_1,1
GCA_020895075_1,1
GCA_018286235_1,1
GCA_021221225_1,1
GCA_019316205_1,1
GCF_003356105_1,1
GCA_016481405_1,1
GCA_022916095_1,1
GCF_002992465_1,1
GCA_020781335_1,1
GCA_024108295_1,1
GCA_016609565_1,1
GCA_018868505_1,1
GCF_003356625_1,1
GCA_024921985_1,1
GCA_016482795_1,1
GCA_019742195_1,1
GCF_013618715_1,1
GCA_017846235_1,1
GCA_020041085_1,1
GCA_020233325_1,1
GCA_020894835_1,1
GCF_003356965_1,1
GCA_016609535_1,1
GCF_000722985_1,1
GCF_008830945_1,1
GCA_016479705_1,1
GCA_016480325_1,1
GCF_011683395_1,1
GCA_020781255_1,1
GCA_016479065_1,1
GCA_020575225_1,1
GCA_021539455_1,1
GCA_016544225_1,1
GCA_024634845_1,1
GCA_020575135_1,1
GCA_016544445_1,1
GCA_024134125_1,1
GCF_003288775_1,1
GCA_019316445_1,1
GCA_016545065_1,1
GCF_002992845_1,1
GCA_016479325_1,1
GCF_003356055_1,1
GCA_018869125_1,1
GCA_019316625_1,1
GCA_016544925_1,1
GCA_020575675_1,1
GCF_003355945_1,1
GCF_013618675_1,1
GCA_016475225_1,1
GCA_017367205_1,1
GCA_019506965_1,1
GCA_020220275_1,1
GCF_004378435_1,1
GCF_008830955_1,1
GCA_017362275_1,1
GCA_016480275_1,1
GCF_017169215_1,1
GCA_017835035_1,1
GCF_003355915_1,1
GCA_020225095_1,1
GCA_024108315_1,1
GCA_016543825_1,1
GCA_022092615_1,1
GCA_022107775_1,1
GCF_002992805_1,1
GCA_016470395_1,1
GCA_017362485_1,1
GCA_016482995_1,1
GCA_017118285_1,1
GCA_017362405_1,1
GCA_020786855_1,1
GCA_016609365_1,1
GCA_016974615_1,1
GCA_020040385_1,1
GCF_002992665_1,1
GCA_019317735_1,1
GCF_002992425_1,1
GCA_016479565_1,1
GCA_016482475_1,1
GCA_019505865_1,1
GCA_016544245_1,1
GCA_017364345_1,1
GCA_020569315_1,1
GCA_016512255_1,1
GCF_003332235_1,1
GCA_018286175_1,1
GCA_016481625_1,1
GCA_016483225_1,1
GCA_018287195_1,1
GCA_016481205_1,1
GCA_024575735_1,1
GCA_017119825_1,1
GCA_019507045_1,1
GCA_016480985_1,1
GCF_002992485_1,1
GCF_003357025_1,1
GCA_016512355_1,1
GCA_016639415_1,1
GCA_020780675_1,1
GCA_016544125_1,1
GCA_020576515_1,1
GCA_016470655_1,1
GCA_016544505_1,1
GCF_024296345_1,1
GCA_019079785_1,1
GCA_016609445_1,1
GCA_016974755_1,1
GCA_016482765_1,1
GCA_016479945_1,1
GCA_017372275_1,1
GCA_024922125_1,1
GCA_016543885_1,1
GCA_021290645_1,1
GCF_005785615_1,1
GCA_016544765_1,1
GCA_020781735_1,1
GCF_003356605_1,1
GCA_019316545_1,1
GCA_019507185_1,1
GCA_022362775_1,1
GCA_016974675_1,1
GCA_018286215_1,1
GCF_003357085_1,1
GCA_017362325_1,1
GCA_021339715_1,1
GCA_016479685_1,1
GCF_005784645_1,1
GCA_016480105_1,1
GCA_021470645_1,1
GCF_017169175_1,1
GCA_020781235_1,1
GCA_021386235_1,1
GCA_017835635_1,1
GCA_020040045_1,1
GCA_016480525_1,1
GCA_016480045_1,1
GCA_019506405_1,1
GCF_003355995_1,1
GCF_003357045_1,1
GCA_021220985_1,1
GCA_019505805_1,1
GCF_017169455_1,1
GCA_021388695_1,1
GCF_002992865_1,1
GCA_019316725_1,1
GCA_016544665_1,1
GCA_018868785_1,1
GCA_018285495_1,1
GCA_016480365_1,1
GCA_017830295_1,1
GCA_018868725_1,1
GCA_022915735_1,1
GCA_016544305_1,1
GCA_019316285_1,1
GCA_023203215_1,1
GCA_021386255_1,1
GCA_024921825_1,1
GCA_018517745_1,1
GCF_006366135_1,2
GCF_006366925_1,2
GCF_009753925_1,2
GCA_016489625_1,2
GCF_006367205_1,2
GCF_006366825_1,2
GCF_006366545_1,2
GCA_020575465_1,2
GCA_017119785_1,2
GCA_018495215_1,2
GCF_003264255_1,2
GCA_018495315_1,2
GCA_024210735_1,2
GCF_006365835_1,2
GCA_017364265_1,2
GCF_006365955_1,2
GCA_022107355_1,2
GCA_016481055_1,2
GCF_001861535_1,2
GCF_007647215_1,2
GCF_008807055_1,2
GCA_016484685_1,2
GCA_017837595_1,2
GCA_016470555_1,2
GCA_016474925_1,2
GCA_018869165_1,2
GCF_011683455_1,2
GCF_011683425_1,2
GCA_021339675_1,2
GCA_016639455_1,2
GCF_006366875_1,2
GCF_006366125_1,2
GCA_022871725_1,2
GCF_006366405_1,2
GCA_021220405_1,2
GCF_001680345_1,2
GCF_009753855_1,2
GCF_006367225_1,2
GCA_022092775_1,2
GCA_016639495_1,2
GCA_018517825_1,2
GCA_018517805_1,2
GCA_017830375_1,2
GCA_016470585_1,2
GCA_017835755_1,2
GCA_022106055_1,2
GCF_011683485_1,2
GCF_023605115_1,2
GCF_014560775_1,2
GCF_001680425_1,2
GCA_018286315_1,2
GCF_006365805_1,2
GCF_006367435_1,2
GCF_006367475_1,2
GCF_001680365_1,2
GCA_016489245_1,2
GCF_014560535_1,2
GCF_004209675_1,2
GCF_001861465_1,2
GCA_018869045_1,2
GCA_021221005_1,2
GCF_001862955_1,2
GCA_018868065_1,2
GCF_014560815_1,2
GCA_016544605_1,2
GCF_014560735_1,2
GCA_018285775_1,2
GCA_023308905_1,2
GCF_006367505_1,2
GCF_023605025_1,2
GCF_006366845_1,2
GCA_017367145_1,2
GCF_006367945_1,2
GCF_009753745_1,2
GCA_020235355_1,2
GCA_016544965_1,2
GCA_021221405_1,2
GCA_019506555_1,2
GCA_020575915_1,2
GCF_001680375_1,2
GCF_001863935_1,2
GCF_006368155_1,2
GCF_006366975_1,2
GCF_009753685_1,2
GCF_001861905_1,2
GCA_016484845_1,2
GCF_009753965_1,2
GCA_016484515_1,2
GCA_021470425_1,2
GCF_001862485_1,2
GCA_022106115_1,2
GCF_006367245_1,2
GCA_018868125_1,2
GCA_024131125_1,2
GCF_014560395_1,2
GCA_017836275_1,2
GCF_001863455_1,2
GCA_017364005_1,2
GCA_019081265_1,2
GCF_001862505_1,2
GCF_006366085_1,2
GCF_006366355_1,2
GCF_006367345_1,2
GCA_016474905_1,2
GCF_011683475_1,2
GCF_023605145_1,2
GCA_016470415_1,2
GCA_018495075_1,2
GCA_020040245_1,2
GCA_019506705_1,2
GCA_021223065_1,2
GCA_019506805_1,2
GCA_016470775_1,2
GCA_016974575_1,2
GCA_021539515_1,2
GCA_020576495_1,2
GCA_023093155_1,2
GCF_006366895_1,2
GCF_014560755_1,2
GCF_006366935_1,2
GCA_016544685_1,2
GCA_024131065_1,2
GCF_006365845_1,2
GCA_019506385_1,2
GCA_019081285_1,2
GCA_016479605_1,2
GCF_001862475_2,2
GCA_019506985_1,2
GCF_006368095_1,2
GCA_016470615_1,2
GCA_016479305_1,2
GCF_006365575_1,2
GCF_006367015_1,2
GCF_009758295_1,2
GCA_019080445_1,2
GCA_024468275_1,2
GCA_021221745_1,2
GCA_018495395_1,2
GCF_006367795_1,2
GCF_006366065_1,2
GCA_020576435_1,2
GCA_019316365_1,2
GCA_022107815_1,2
GCF_009753995_1,2
GCA_021220105_1,2
GCF_001862455_1,2
GCA_017835015_1,2
GCA_017835735_1,2
GCF_001617895_1,2
GCF_006365685_1,2
GCF_001861585_1,2
GCA_021221645_1,2
GCF_014560765_1,2
GCA_019317385_1,2
GCA_024211625_1,2
GCA_016544205_1,2
GCA_021222885_1,2
GCA_016974295_1,2
GCF_006365795_1,2
GCF_006366315_1,2
GCF_006367175_1,2
GCF_006367405_1,2
GCF_006366435_1,2
GCA_022916155_1,2
GCF_001680395_1,2
GCA_017362365_1,2
GCA_022105955_1,2
GCA_024133625_1,2
GCF_006368125_1,2
GCA_017362225_1,2
GCF_023604985_1,2
GCA_016470535_1,2
GCA_018496965_1,2
GCA_016974215_1,2
GCF_009753645_1,2
GCF_006366055_1,2
GCA_018285635_1,2
GCA_024123655_1,2
GCA_016480825_1,2
GCF_003264295_1,2
GCF_014560655_1,2
GCA_016609325_1,2
GCF_001861695_1,2
GCA_019507245_1,2
GCA_018868805_1,2
GCF_006368005_1,2
GCF_006365675_1,2
GCF_011683465_1,2
GCA_018493995_1,2
GCF_023606035_1,2
GCF_006376725_1,2
GCF_006366445_1,2
GCF_005785695_1,2
GCA_016480725_1,2
GCA_016544345_1,2
GCA_018496015_1,2
GCF_006365665_1,2
GCA_018494015_1,2
GCA_017364365_1,2
GCA_020576475_1,2
GCA_020781675_1,2
GCA_023203095_1,2
GCF_005784795_1,2
GCA_024211075_1,2
GCA_020040825_1,2
GCA_020575805_1,2
GCF_001861475_2,2
GCA_016470475_1,2
GCF_009758395_1,2
GCF_006367765_1,2
GCF_009754005_1,2
GCF_022816165_1,2
GCA_022106355_1,2
GCA_016544705_2,2
GCF_001862235_1,2
GCF_001863085_1,2
GCF_006366035_1,2
GCF_009753845_1,2
GCA_022474735_1,2
GCA_024921805_1,2
GCA_022474775_1,2
GCF_001680445_1,2
GCF_001680475_1,2
GCA_016974775_1,2
GCA_020470285_1,2
GCA_022106095_1,2
GCA_023308965_1,2
GCF_006365735_1,2
GCF_011683355_1,2
GCF_006366905_1,2
GCF_006367115_1,2
GCA_016484155_1,2
GCA_023615405_1,2
GCF_006366985_1,2
GCA_016481145_1,2
GCF_006365655_1,2
GCA_017836335_1,2
GCF_006366385_1,2
GCA_017835915_1,2
GCA_018498055_1,2
GCA_022092755_1,2
GCA_017846395_1,2
GCF_006365935_1,2
GCA_020577465_1,2
GCF_001862855_1,2
GCA_021275025_1,3
GCA_020448605_1,3
GCA_020519785_1,3
GCA_020448865_1,3
GCA_020469245_1,3
GCA_020519045_1,3
GCA_020463775_1,3
GCA_020519285_1,3
GCA_024536815_1,3
GCA_020551805_1,3
GCA_023009845_1,3
GCA_020448705_1,3
GCA_021275805_1,3
GCA_020559545_1,3
GCA_021274285_1,3
GCA_020469545_1,3
GCA_020519765_1,3
GCA_022992125_1,3
GCA_021315255_1,3
GCA_023064195_1,3
GCA_020548265_1,3
GCA_022882015_1,3
GCA_020448575_1,3
GCA_020448405_1,3
GCA_020519725_1,3
GCA_020464095_1,3
GCA_022881615_1,3
GCA_020464465_1,3
GCA_021275825_1,3
GCA_020518905_1,3
GCA_021273785_1,3
GCA_022881155_1,3
GCA_022881115_1,3
GCA_020519445_1,3
GCA_021273985_1,3
GCA_020694045_1,3
GCA_020463705_1,3
GCA_020518795_1,3
GCA_021275625_1,3
GCA_024537815_1,3
GCA_023011275_1,3
GCA_023064095_1,3
GCA_020447925_1,3
GCA_021273805_1,3
GCA_022992185_1,3
GCA_021275905_1,3
GCA_020448445_1,3
GCA_020518865_1,3
GCA_023400355_1,3
GCA_020519825_1,3
GCA_021274305_1,3
GCA_024484085_1,3
GCA_020411625_1,3
GCA_021273085_1,3
GCA_020448355_1,3
GCA_024572815_1,3
GCA_020464055_1,3
GCA_020448345_1,3
GCA_020464405_1,3
GCA_024537395_1,3
GCA_020693835_1,3
GCA_020866705_1,3
GCA_020448265_1,3
GCA_020448425_1,3
GCA_021272685_1,3
GCA_020448045_1,3
GCA_022882875_1,3
GCA_021272465_1,3
GCA_021274005_1,3
GCA_020469265_1,3
GCA_020447945_1,3
GCA_020463815_1,3
GCA_024483955_1,3
GCA_020519685_1,3
GCA_022881135_1,3
GCA_020448465_1,3
GCA_021275405_1,3
GCA_021276205_1,3
GCA_020411805_1,3
GCA_020518985_1,3
GCA_020464325_1,3
GCA_021316715_1,3
GCA_021274505_1,3
GCA_020463645_1,3
GCA_020693905_1,3
GCA_021274365_1,3
GCA_020519865_1,3
GCA_021274825_1,3
GCA_020463735_1,3
GCA_022881555_1,3
GCA_021274085_1,3
GCA_020411665_1,3
GCA_020448325_1,3
GCA_020518945_1,3
GCA_021275765_1,3
GCA_021275445_1,3
GCA_020448545_1,3
GCA_020448665_1,3
GCA_020863745_1,3
GCA_020866685_1,3
GCA_020829025_1,3
GCA_024531305_1,3
GCA_020519845_1,3
GCA_021274845_1,3
GCA_020448565_1,3
GCA_020519005_1,3
GCA_020519405_1,3
GCA_022992625_1,3
GCA_021272585_1,3
GCA_020519225_1,3
GCA_020559685_1,3
GCA_020519645_1,3
GCA_023065095_1,3
GCA_020464115_1,3
GCA_020469225_1,3
GCA_020464015_1,3
GCA_021272845_1,3
GCA_020518765_1,3
GCA_021275985_1,3
GCA_020518965_1,3
GCA_020829345_1,3
GCA_021272645_1,3
GCA_020112915_1,4
GCA_020106955_1,4
GCA_020109615_1,4
GCA_020101775_1,4
GCA_020100655_1,4
GCA_020101935_1,4
GCA_020106915_1,4
GCA_020113775_1,4
GCA_020110975_1,4
GCA_020101735_1,4
GCA_020102195_1,4
GCA_020113415_1,4
GCA_020102315_1,4
GCA_020106415_1,4
GCA_020102255_1,4
GCA_020109235_1,4
GCA_020108295_1,4
GCA_020104555_1,4
GCA_020107355_1,4
GCA_020104375_1,4
GCA_020105135_1,4
GCA_020104135_1,4
GCA_020107695_1,4
GCA_020101195_1,4
GCA_020100455_1,4
GCA_020112175_1,4
GCA_020101575_1,4
GCA_020106995_1,4
GCA_020106275_1,4
GCA_020101715_1,4
GCA_020101855_1,4
GCA_020112875_1,4
GCA_020106675_1,4
GCA_020103615_1,4
GCA_020100515_1,4
GCA_020102895_1,4
GCA_020106435_1,4
GCA_020104655_1,4
GCA_020114155_1,4
GCA_020104835_1,4
GCA_020108455_1,4
GCA_020104415_1,4
GCA_020102755_1,4
GCA_020112855_1,4
GCA_020104455_1,4
GCA_020102415_1,4
GCA_020101055_1,4
GCA_020101835_1,4
GCA_020103115_1,4
GCA_020111335_1,4
GCA_020102995_1,4
GCA_020110175_1,4
GCA_020101255_1,4
GCA_020104095_1,4
GCA_020107075_1,4
GCA_020101795_1,4
GCA_020112795_1,4
GCA_020102095_1,4
GCA_020108895_1,4
GCA_020109695_1,4
GCA_020106695_1,4
GCA_020100325_1,4
GCA_020105095_1,4
GCA_020104955_1,4
GCA_020109575_1,4
GCA_020104075_1,4
GCA_020104615_1,4
GCA_020104035_1,4
GCA_020101755_1,4
GCA_020103035_1,4
GCA_020102515_1,4
GCA_020104915_1,4
GCA_020109635_1,4
GCA_020101995_1,4
GCA_020112975_1,4
GCA_020100775_1,4
GCA_020109155_1,4
GCA_020113245_1,4
GCA_020113435_1,4
GCA_020102075_1,4
GCA_020109035_1,4
GCA_020101815_1,4
GCA_020100755_1,4
GCA_020107035_1,4
GCA_020102395_1,4
GCA_020103455_1,4
GCA_020107055_1,4
GCA_020102475_1,4
GCA_020101875_1,4
GCA_020109415_1,4
GCA_020103075_1,4
GCF_003431865_1,5
GCA_024025075_1,5
GCA_016537045_2,5
GCA_016540575_2,5
GCA_016537765_2,5
GCA_024025155_1,5
GCA_016537025_2,5
GCA_016541345_2,5
GCA_016537085_2,5
GCA_016541485_2,5
GCA_016537505_2,5
GCA_016539335_2,5
GCA_016537315_2,5
GCA_016539465_2,5
GCA_016541365_2,5
GCA_016537525_2,5
GCA_016538745_2,5
GCA_016537075_2,5
GCA_016536965_2,5
GCA_016537055_2,5
GCA_016539675_2,5
GCA_016540485_2,5
GCA_016541245_2,5
GCA_016537665_2,5
GCA_016539795_2,5
GCA_016539965_2,5
GCA_016537355_2,5
GCA_016540655_2,5
GCA_016539855_2,5
GCA_016537755_2,5
GCA_016540585_2,5
GCA_016540565_2,5
GCA_016541285_2,5
GCA_016539705_2,5
GCA_016541325_2,5
GCA_024025175_1,5
GCA_016541305_2,5
GCA_016537465_2,5
GCA_016539665_2,5
GCA_016537415_2,5
GCA_016537545_2,5
GCA_016538705_2,5
GCA_016539895_2,5
GCA_016541405_2,5
GCA_016537305_2,5
GCA_016537405_2,5
GCA_016539275_2,5
GCA_016539445_2,5
GCA_016537265_2,5
GCA_016537725_2,5
GCA_024025235_1,5
GCA_016537445_2,5
GCA_016541545_2,5
GCA_016538655_2,5
GCA_016539845_2,5
GCA_016540645_2,5
GCA_016539725_2,5
GCA_016540545_2,5
GCA_016541565_2,5
GCA_016540445_2,5
GCA_016539745_2,5
GCA_016540015_2,5
GCA_016538825_2,5
GCA_016539905_2,5
GCA_016538765_2,5
GCA_016539785_2,5
GCA_016536985_2,5
GCA_016538755_2,5
GCA_016541505_2,5
GCA_024025195_1,5
GCA_016537375_2,5
GCA_016539975_2,5
GCA_016521935_2,5
GCA_016538715_2,5
GCA_016539885_2,5
GCA_016539945_2,5
GCA_016539805_2,5
GCA_016541525_2,5
GCA_016538685_2,5
GCA_016538785_2,5
GCA_016540005_2,5
GCA_024025215_1,5
GCA_016537455_2,5
GCA_024025135_1,5
GCF_001666635_1,6
GCF_002137565_1,6
GCF_001669695_1,6
GCF_001664855_1,6
GCF_001664835_1,6
GCF_001674485_1,6
GCF_002183085_1,6
GCF_001669575_1,6
GCF_002137225_1,6
GCF_001674345_1,6
GCF_001664755_1,6
GCA_016487485_1,6
GCF_001674515_1,6
GCF_001668865_1,6
GCF_001666645_1,6
GCF_001674585_1,6
GCF_014880115_1,6
GCF_001668915_1,6
GCF_001674075_1,6
GCF_001664975_1,6
GCF_001674085_1,6
GCF_000811015_3,6
GCF_001665985_1,6
GCF_001666625_1,6
GCF_001665155_1,6
GCF_001669195_1,6
GCF_001673985_1,6
GCF_001674325_1,6
GCF_001666555_1,6
GCF_001674115_1,6
GCA_016487705_1,6
GCF_000939485_2,6
GCF_014882325_1,6
GCF_001666255_1,6
GCF_002017355_1,6
GCF_002184035_1,6
GCF_002016735_1,6
GCF_001669175_1,6
GCF_001666405_1,6
GCF_002017395_1,6
GCF_001664585_1,6
GCF_001666565_1,6
GCF_001666275_1,6
GCF_001669265_1,6
GCF_001674255_1,6
GCF_001666465_1,6
GCF_014880685_1,6
GCF_001668445_1,6
GCF_001674915_1,6
GCF_001673825_1,6
GCF_001674315_1,6
GCF_001674705_1,6
GCF_001669635_1,6
GCF_001668775_1,6
GCF_001669455_1,6
GCF_001669435_1,6
GCF_001665125_1,6
GCF_001666065_1,6
GCF_001668765_1,6
GCF_001674015_1,6
GCF_001668755_1,6
GCF_001666235_1,6
GCF_001674655_1,6
GCF_001674835_1,6
GCF_001674635_1,6
GCF_001664965_1,6
GCF_001666575_1,6
GCF_001665205_1,6
GCF_001674165_1,6
GCF_001664665_1,6
GCF_001669495_1,6
GCF_001668995_1,6
GCF_001666305_1,6
GCF_001674235_1,6
GCF_001673915_1,6
GCF_001673805_1,6
GCF_001668935_1,6
GCF_001669295_1,6
GCF_001674245_1,6
GCF_001674605_1,6
GCF_001666515_1,6
GCF_002016815_1,6
GCF_001668555_1,6
GCF_014882365_1,6
GCA_024571375_1,7
GCA_021274345_1,7
GCA_020469505_1,7
GCA_024559865_1,7
GCA_022977875_1,7
GCA_021276225_1,7
GCA_024572415_1,7
GCA_021274145_1,7
GCA_024559945_1,7
GCA_021276065_1,7
GCA_021272925_1,7
GCA_024559925_1,7
GCA_021274205_1,7
GCA_022977895_1,7
GCA_024573915_1,7
GCA_022477275_1,7
GCA_023064925_1,7
GCA_021275605_1,7
GCA_022881395_1,7
GCA_022881375_1,7
GCA_021274925_1,7
GCA_024574215_1,7
GCA_024559485_1,7
GCA_022992285_1,7
GCA_022978035_1,7
GCA_023064855_1,7
GCA_021272625_1,7
GCA_023064735_1,7
GCA_020411705_1,7
GCA_021276245_1,7
GCA_022881975_1,7
GCA_024535055_1,7
GCA_022992105_1,7
GCA_020463895_1,7
GCA_022992345_1,7
GCA_022881915_1,7
GCA_024560625_1,7
GCA_022992645_1,7
GCA_022989985_1,7
GCA_024570345_1,7
GCA_021275745_1,7
GCA_024559905_1,7
GCA_023009525_1,7
GCA_024573875_1,7
GCA_023064835_1,7
GCA_021272445_1,7
GCA_021275925_1,7
GCA_021272475_1,7
GCA_020448305_1,7
GCA_024559765_1,7
GCA_022881095_1,7
GCA_022991105_1,7
GCA_024574825_1,7
GCA_022881935_1,7
GCA_022977995_1,7
GCA_021272885_1,7
GCA_022992565_1,7
GCA_024559325_1,7
GCA_021273965_1,7
GCA_023465015_1,7
GCA_021275325_1,7
GCA_021275505_1,7
GCA_024536495_1,7
GCA_023064795_1,7
GCA_024573155_1,7
GCA_020463835_1,7
GCA_022881335_1,7
GCA_021274565_1,7
GCA_022989865_1,7
GCA_021272565_1,7
GCA_021275265_1,7
GCA_022992685_1,7
GCA_023064635_1,7
GCA_024559205_1,7
GCA_022978375_1,7
GCA_024559225_1,7
GCA_021273105_1,7
GCA_023064915_1,7
GCA_023064815_1,7
GCA_016534405_2,8
GCA_016524735_2,8
GCA_016526725_2,8
GCA_016525715_2,8
GCA_016525005_2,8
GCA_016525055_2,8
GCA_016524015_2,8
GCA_016521535_2,8
GCA_016522995_2,8
GCA_016527425_2,8
GCA_016525275_2,8
GCA_016525855_2,8
GCA_024024115_1,8
GCA_016530285_2,8
GCA_016526315_2,8
